J,F,parity,energy_MHz,J_weight
1,1.5,1,14540.98681043393,0.9999999106537575
1,1.5,-1,14546.276808541988,0.9999999105237595
1,0.4999999999999999,1,14556.034412,0.9999999999999998
1,0.4999999999999999,-1,14561.324412000002,0.9999999999999998
2,2.4999999999999996,-1,43634.58765240983,0.9999999529355003
2,1.4999999999999998,-1,43642.91731145801,0.999999910523759
2,2.4999999999999996,1,43650.45765016663,0.9999999528327246
2,1.5,1,43658.78730956607,0.9999999106537574
3,3.5,1,87273.07470617013,0.9999999720844106
3,2.5000000000000004,1,87278.87088983337,0.9999999528327252
3,3.5,-1,87304.81470380392,0.9999999720030956
3,2.5000000000000004,-1,87310.6108875902,0.9999999529355008
