isotope,scenario,parameter,value,unit,status,uncertainty,source,note
232,baseline,B0,7274.3325,MHz,derived,0.01,Ng 2022 SII B p.2 (interval = 29.09733(4) GHz); Ng thesis S4.1.1 p.78,"Interval/4 approximation, not a refit with D0 and extra hyperfine terms. Propagated measurement uncertainty is 0.010 MHz. With the current B J(J+1)-D[J(J+1)]^2 terms, the rotational interval is 4B-32D, 124.704 kHz below the source interval; a consistent refit is unresolved"
232,baseline,D0,3.897,kHz,measured,0.12,"Gresh 2016 Table 1, X3Delta1 D'' column (1.30(4)e-7 cm-1)",
232,baseline,omega_ef,5.29,MHz,measured,0.05,Ng 2022 Table I p.5; Ng thesis Table 4.1 p.87,
232,baseline,A_par,-20.1,MHz,measured,0.1,Ng 2022 Table I p.5,"may absorb 2 c_I .. 6 c_I ~ 40-120 kHz of unmodelled nuclear spin-rotation -- [HAM] S2.6, OPEN-6"
232,baseline,c_I,20.0,kHz,estimate,,"[HAM] S2.6: B&C Table 8.12 c2(19F, CsF) = 15.1 kHz at B_v = 0.183782 cm-1, scaled linearly in B",Order-of-magnitude analogy only. The 15.1 kHz CsF anchor gives 19.94 kHz after B scaling; neither the ThF+ sign nor a factor-of-three error bound is established. CsF is closed-shell; ThF+ is open-shell. B&C printed p.421/PDF p.453 discusses opposite-sign first/second-order contributions. Sweep this parameter rather than treating 20 kHz as a precision prediction
232,baseline,d_mf,3.37,D,measured,0.09,Ng 2022 Table I p.5,ORIGIN-DEPENDENT for an ion: 2.74 D w.r.t. the Th nucleus (Skripnikov & Titov 2015 Table II) = 3.46 D at c.m.
232,baseline,G_par,0.04756,,derived,0.002,Ng thesis p.87 (0.048(2) for g_F < 0); reproduces |g_F=3/2| = 0.0149 exactly -- [HAM] S3,sign of g_F is NOT measured; theory forces g_F < 0. OPEN-4
232,baseline,g_N,5.25773,,held-fixed,,"19F nuclear g-factor, Petrov et al. arXiv:1704.06631 Eq. 3",
232,baseline,E_eff,35.0,GV/cm,ab-initio,2.45,"Ng thesis Eq. C.8 discussion p.322 (JILA adopts ~35); Skripnikov & Titov 2015 give 37.3(7 %), Denis 2015 35.2","OPEN-14: 35.2 vs 37.3 GV/cm. Uncertainty is the quoted +-7 % of the adopted value (2.45 GV/cm), not a spread over the three calculations"
232,baseline,W_TP,50.0,kHz,ab-initio,3.5,Skripnikov & Titov 2015 Table II p.8 (+-7 %),uncertainty is that quoted +-7 % of 50 kHz
232,baseline,d_e,0.0,,held-fixed,,,electron EDM in e.cm; 0 turns the PT-odd block off
232,baseline,k_TP,0.0,,held-fixed,,,"scalar-pseudoscalar coupling, dimensionless; 0 turns it off"
229,baseline,B0,7274.3325,MHz,estimate,,Ng 2022 SII B p.2 (interval = 29.09733(4) GHz); Ng thesis S4.1.1 p.78,"Transferred unchanged from 232Th19F+ to 229Th19F+; not measured for the target isotope and not mass-scaled. Source-isotope uncertainty: 0.01 MHz; target-isotope transfer uncertainty is unquantified. Interval/4 approximation, not a refit with D0 and extra hyperfine terms. Propagated measurement uncertainty is 0.010 MHz. With the current B J(J+1)-D[J(J+1)]^2 terms, the rotational interval is 4B-32D, 124.704 kHz below the source interval; a consistent refit is unresolved"
229,baseline,D0,3.897,kHz,estimate,,"Gresh 2016 Table 1, X3Delta1 D'' column (1.30(4)e-7 cm-1)",Transferred unchanged from 232Th19F+ to 229Th19F+; not measured for the target isotope and not mass-scaled. Source-isotope uncertainty: 0.12 kHz; target-isotope transfer uncertainty is unquantified. 
229,baseline,omega_ef,5.29,MHz,estimate,,Ng 2022 Table I p.5; Ng thesis Table 4.1 p.87,Transferred unchanged from 232Th19F+ to 229Th19F+; not measured for the target isotope and not mass-scaled. Source-isotope uncertainty: 0.05 MHz; target-isotope transfer uncertainty is unquantified. 
229,baseline,A_par,-20.1,MHz,estimate,,Ng 2022 Table I p.5,"Transferred unchanged from 232Th19F+ to 229Th19F+; not measured for the target isotope and not mass-scaled. Source-isotope uncertainty: 0.1 MHz; target-isotope transfer uncertainty is unquantified. may absorb 2 c_I .. 6 c_I ~ 40-120 kHz of unmodelled nuclear spin-rotation -- [HAM] S2.6, OPEN-6"
229,baseline,c_I,20.0,kHz,estimate,,"[HAM] S2.6: B&C Table 8.12 c2(19F, CsF) = 15.1 kHz at B_v = 0.183782 cm-1, scaled linearly in B",Order-of-magnitude analogy only. The 15.1 kHz CsF anchor gives 19.94 kHz after B scaling; neither the ThF+ sign nor a factor-of-three error bound is established. CsF is closed-shell; ThF+ is open-shell. B&C printed p.421/PDF p.453 discusses opposite-sign first/second-order contributions. Sweep this parameter rather than treating 20 kHz as a precision prediction
229,baseline,d_mf,3.37,D,estimate,,Ng 2022 Table I p.5,Transferred unchanged from 232Th19F+ to 229Th19F+; not measured for the target isotope and not mass-scaled. Source-isotope uncertainty: 0.09 D; target-isotope transfer uncertainty is unquantified. ORIGIN-DEPENDENT for an ion: 2.74 D w.r.t. the Th nucleus (Skripnikov & Titov 2015 Table II) = 3.46 D at c.m.
229,baseline,G_par,0.04756,,estimate,,Ng thesis p.87 (0.048(2) for g_F < 0); reproduces |g_F=3/2| = 0.0149 exactly -- [HAM] S3,Transferred unchanged from 232Th19F+ to 229Th19F+; not measured for the target isotope and not mass-scaled. Source-isotope uncertainty: 0.002 ; target-isotope transfer uncertainty is unquantified. sign of g_F is NOT measured; theory forces g_F < 0. OPEN-4
229,baseline,g_N,5.25773,,held-fixed,,"19F nuclear g-factor, Petrov et al. arXiv:1704.06631 Eq. 3",
229,baseline,E_eff,35.0,GV/cm,ab-initio,2.45,"Ng thesis Eq. C.8 discussion p.322 (JILA adopts ~35); Skripnikov & Titov 2015 give 37.3(7 %), Denis 2015 35.2","OPEN-14: 35.2 vs 37.3 GV/cm. Uncertainty is the quoted +-7 % of the adopted value (2.45 GV/cm), not a spread over the three calculations"
229,baseline,W_TP,50.0,kHz,ab-initio,3.5,Skripnikov & Titov 2015 Table II p.8 (+-7 %),uncertainty is that quoted +-7 % of 50 kHz
229,baseline,d_e,0.0,,held-fixed,,,electron EDM in e.cm; 0 turns the PT-odd block off
229,baseline,k_TP,0.0,,held-fixed,,,"scalar-pseudoscalar coupling, dimensionless; 0 turns it off"
229,baseline,A_par_Th,-1519.495,MHz,ab-initio,,"Skripnikov & Titov PRA91 042504 (2015), Table II: -4163*.365 MHz","Single-source negative branch; about 7% theory scale, no calibrated combined interval."
229,baseline,c_I_Th,0.0,kHz,held-fixed,,No value anywhere -- gap G3,"[TH] S4.6 declines to pick one and brackets it at ~1 kHz to ~1 MHz: g_N(Th)/g_N(F) = 0.0279 pushes down, the 2700x larger electronic hyperfine factor on Th pushes up. OPEN-19"
229,baseline,eQq0_Th,0,MHz,held-fixed,,Explicit omission for this plotting baseline,"Unknown physical quadrupole, NOT an estimate of zero; compare sensitivity figure."
229,baseline,eQq2_Th,0,MHz,held-fixed,,Explicit omission for this plotting baseline,"Unknown physical quadrupole, NOT an estimate of zero; compare sensitivity figure."
229,baseline,g_N_Th,0.146,,derived,0.0012,"Zitzer et al. PRA111 L050802 (2025), Table I: mu=.365(3) mu_N / I=2.5",Plot-specific update from the 2021 input.
