index,J,F1,F,ef,mF,parity,purity,E_MHz
8,1,1,0.5,e,-0.5,-1,0.5000,14556.034389
9,1,1,0.5,e,+0.5,-1,0.5000,14556.034435
10,1,1,0.5,f,-0.5,+1,0.5000,14561.324389
11,1,1,0.5,f,+0.5,+1,0.5000,14561.324435
0,1,1,1.5,e,-1.5,-1,0.5000,14540.986779
1,1,1,1.5,e,-0.5,-1,0.5000,14540.986800
2,1,1,1.5,e,+0.5,-1,0.5000,14540.986821
3,1,1,1.5,e,+1.5,-1,0.5000,14540.986842
4,1,1,1.5,f,-1.5,+1,0.5000,14546.276778
5,1,1,1.5,f,-0.5,+1,0.5000,14546.276798
6,1,1,1.5,f,+0.5,+1,0.5000,14546.276819
7,1,1,1.5,f,+1.5,+1,0.5000,14546.276840
18,2,2,1.5,e,-1.5,+1,0.5000,43642.917288
19,2,2,1.5,e,-0.5,+1,0.5000,43642.917304
20,2,2,1.5,e,+0.5,+1,0.5000,43642.917319
21,2,2,1.5,e,+1.5,+1,0.5000,43642.917335
28,2,2,1.5,f,-1.5,-1,0.5000,43658.787287
29,2,2,1.5,f,-0.5,-1,0.5000,43658.787302
30,2,2,1.5,f,+0.5,-1,0.5000,43658.787317
31,2,2,1.5,f,+1.5,-1,0.5000,43658.787332
12,2,2,2.5,e,-2.5,+1,0.5000,43634.587630
13,2,2,2.5,e,-1.5,+1,0.5000,43634.587639
14,2,2,2.5,e,-0.5,+1,0.5000,43634.587648
15,2,2,2.5,e,+0.5,+1,0.5000,43634.587657
16,2,2,2.5,e,+1.5,+1,0.5000,43634.587666
17,2,2,2.5,e,+2.5,+1,0.5000,43634.587675
22,2,2,2.5,f,-2.5,-1,0.5000,43650.457629
23,2,2,2.5,f,-1.5,-1,0.5000,43650.457637
24,2,2,2.5,f,-0.5,-1,0.5000,43650.457646
25,2,2,2.5,f,+0.5,-1,0.5000,43650.457654
26,2,2,2.5,f,+1.5,-1,0.5000,43650.457663
27,2,2,2.5,f,+2.5,-1,0.5000,43650.457672
40,3,3,2.5,e,-2.5,-1,0.5000,87278.870868
41,3,3,2.5,e,-1.5,-1,0.5000,87278.870877
42,3,3,2.5,e,-0.5,-1,0.5000,87278.870886
43,3,3,2.5,e,+0.5,-1,0.5000,87278.870894
44,3,3,2.5,e,+1.5,-1,0.5000,87278.870903
45,3,3,2.5,e,+2.5,-1,0.5000,87278.870911
54,3,3,2.5,f,-2.5,+1,0.5000,87310.610868
55,3,3,2.5,f,-1.5,+1,0.5000,87310.610876
56,3,3,2.5,f,-0.5,+1,0.5000,87310.610884
57,3,3,2.5,f,+0.5,+1,0.5000,87310.610892
58,3,3,2.5,f,+1.5,+1,0.5000,87310.610900
59,3,3,2.5,f,+2.5,+1,0.5000,87310.610907
32,3,3,3.5,e,-3.5,-1,0.5000,87273.074687
33,3,3,3.5,e,-2.5,-1,0.5000,87273.074693
34,3,3,3.5,e,-1.5,-1,0.5000,87273.074698
35,3,3,3.5,e,-0.5,-1,0.5000,87273.074703
36,3,3,3.5,e,+0.5,-1,0.5000,87273.074709
37,3,3,3.5,e,+1.5,-1,0.5000,87273.074714
38,3,3,3.5,e,+2.5,-1,0.5000,87273.074720
39,3,3,3.5,e,+3.5,-1,0.5000,87273.074725
46,3,3,3.5,f,-3.5,+1,0.5000,87304.814686
47,3,3,3.5,f,-2.5,+1,0.5000,87304.814691
48,3,3,3.5,f,-1.5,+1,0.5000,87304.814696
49,3,3,3.5,f,-0.5,+1,0.5000,87304.814701
50,3,3,3.5,f,+0.5,+1,0.5000,87304.814706
51,3,3,3.5,f,+1.5,+1,0.5000,87304.814711
52,3,3,3.5,f,+2.5,+1,0.5000,87304.814716
53,3,3,3.5,f,+3.5,+1,0.5000,87304.814721
70,4,4,3.5,e,-3.5,+1,0.5000,145461.105308
71,4,4,3.5,e,-2.5,+1,0.5000,145461.105313
72,4,4,3.5,e,-1.5,+1,0.5000,145461.105319
73,4,4,3.5,e,-0.5,+1,0.5000,145461.105325
74,4,4,3.5,e,+0.5,+1,0.5000,145461.105331
75,4,4,3.5,e,+1.5,+1,0.5000,145461.105337
76,4,4,3.5,e,+2.5,+1,0.5000,145461.105343
77,4,4,3.5,e,+3.5,+1,0.5000,145461.105349
88,4,4,3.5,f,-3.5,-1,0.5000,145514.005307
89,4,4,3.5,f,-2.5,-1,0.5000,145514.005313
90,4,4,3.5,f,-1.5,-1,0.5000,145514.005318
91,4,4,3.5,f,-0.5,-1,0.5000,145514.005323
92,4,4,3.5,f,+0.5,-1,0.5000,145514.005328
93,4,4,3.5,f,+1.5,-1,0.5000,145514.005334
94,4,4,3.5,f,+2.5,-1,0.5000,145514.005339
95,4,4,3.5,f,+3.5,-1,0.5000,145514.005344
60,4,4,4.5,e,-4.5,+1,0.5000,145456.669851
61,4,4,4.5,e,-3.5,+1,0.5000,145456.669855
62,4,4,4.5,e,-2.5,+1,0.5000,145456.669859
63,4,4,4.5,e,-1.5,+1,0.5000,145456.669862
64,4,4,4.5,e,-0.5,+1,0.5000,145456.669866
65,4,4,4.5,e,+0.5,+1,0.5000,145456.669870
66,4,4,4.5,e,+1.5,+1,0.5000,145456.669874
67,4,4,4.5,e,+2.5,+1,0.5000,145456.669878
68,4,4,4.5,e,+3.5,+1,0.5000,145456.669882
69,4,4,4.5,e,+4.5,+1,0.5000,145456.669886
78,4,4,4.5,f,-4.5,-1,0.5000,145509.569851
79,4,4,4.5,f,-3.5,-1,0.5000,145509.569854
80,4,4,4.5,f,-2.5,-1,0.5000,145509.569857
81,4,4,4.5,f,-1.5,-1,0.5000,145509.569861
82,4,4,4.5,f,-0.5,-1,0.5000,145509.569864
83,4,4,4.5,f,+0.5,-1,0.5000,145509.569868
84,4,4,4.5,f,+1.5,-1,0.5000,145509.569871
85,4,4,4.5,f,+2.5,-1,0.5000,145509.569874
86,4,4,4.5,f,+3.5,-1,0.5000,145509.569878
87,4,4,4.5,f,+4.5,-1,0.5000,145509.569881
108,5,5,4.5,e,-4.5,-1,0.5000,218188.744014
109,5,5,4.5,e,-3.5,-1,0.5000,218188.744018
110,5,5,4.5,e,-2.5,-1,0.5000,218188.744023
111,5,5,4.5,e,-1.5,-1,0.5000,218188.744027
112,5,5,4.5,e,-0.5,-1,0.5000,218188.744032
113,5,5,4.5,e,+0.5,-1,0.5000,218188.744036
114,5,5,4.5,e,+1.5,-1,0.5000,218188.744041
115,5,5,4.5,e,+2.5,-1,0.5000,218188.744046
116,5,5,4.5,e,+3.5,-1,0.5000,218188.744050
117,5,5,4.5,e,+4.5,-1,0.5000,218188.744055
130,5,5,4.5,f,-4.5,+1,0.5000,218268.094014
131,5,5,4.5,f,-3.5,+1,0.5000,218268.094018
132,5,5,4.5,f,-2.5,+1,0.5000,218268.094022
133,5,5,4.5,f,-1.5,+1,0.5000,218268.094026
134,5,5,4.5,f,-0.5,+1,0.5000,218268.094030
135,5,5,4.5,f,+0.5,+1,0.5000,218268.094034
136,5,5,4.5,f,+1.5,+1,0.5000,218268.094038
137,5,5,4.5,f,+2.5,+1,0.5000,218268.094042
138,5,5,4.5,f,+3.5,+1,0.5000,218268.094045
139,5,5,4.5,f,+4.5,+1,0.5000,218268.094049
96,5,5,5.5,e,-5.5,-1,0.5000,218185.166559
97,5,5,5.5,e,-4.5,-1,0.5000,218185.166562
98,5,5,5.5,e,-3.5,-1,0.5000,218185.166565
99,5,5,5.5,e,-2.5,-1,0.5000,218185.166568
