eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,106,20,-174633.556237,1.358190e-08,5,5,4.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,107,21,-174633.505480,7.440726e-09,5,5,4.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,108,22,-174633.454432,3.669089e-09,5,5,4.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,109,23,-174633.403099,1.550952e-09,5,5,4.5,f,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,110,24,-174633.351489,5.099596e-10,5,5,4.5,f,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,111,25,-174633.299607,1.006155e-10,5,5,4.5,f,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,129,20,-174630.038080,1.947213e-12,5,5,5.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,130,21,-174629.973892,1.967897e-12,5,5,5.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,131,22,-174629.909464,1.325600e-12,5,5,5.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,107,12,-174625.272785,8.134989e-12,5,5,4.5,f,-3.5,+1,2,2,1.5,e,-1.5,+1
sigma+,sigma-,108,13,-174625.155894,6.058030e-12,5,5,4.5,f,-2.5,+1,2,2,1.5,e,-0.5,+1
sigma+,sigma-,109,14,-174625.039238,2.578244e-12,5,5,4.5,f,-1.5,+1,2,2,1.5,e,+0.5,+1
sigma+,sigma-,96,26,-174538.296504,7.892927e-10,5,5,4.5,e,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,97,27,-174538.256608,4.320708e-10,5,5,4.5,e,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,98,28,-174538.216436,2.128891e-10,5,5,4.5,e,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,99,29,-174538.175994,8.991716e-11,5,5,4.5,e,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,100,30,-174538.135286,2.954086e-11,5,5,4.5,e,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,101,31,-174538.094319,5.823569e-12,5,5,4.5,e,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,4,-130973.150257,2.402780e-08,4,4,3.5,f,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,69,5,-130972.994601,1.000634e-08,4,4,3.5,f,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,70,6,-130972.836769,3.242429e-09,4,4,3.5,f,-1.5,-1,1,1,1.5,e,+0.5,-1
