index,J,F1,F,ef,mF,parity,purity,E_MHz
8,1,1,0.5,e,-0.5,-1,0.5000,14555.965455
9,1,1,0.5,e,+0.5,-1,0.5000,14556.103744
10,1,1,0.5,f,-0.5,+1,0.5000,14561.256600
11,1,1,0.5,f,+0.5,+1,0.5000,14561.392587
0,1,1,1.5,e,-1.5,-1,0.5000,14540.892091
1,1,1,1.5,e,-0.5,-1,0.5000,14540.955049
2,1,1,1.5,e,+0.5,-1,0.5000,14541.018196
3,1,1,1.5,e,+1.5,-1,0.5000,14541.081530
4,1,1,1.5,f,-1.5,+1,0.5000,14546.183815
5,1,1,1.5,f,-0.5,+1,0.5000,14546.245628
6,1,1,1.5,f,+0.5,+1,0.5000,14546.307625
7,1,1,1.5,f,+1.5,+1,0.5000,14546.369802
18,2,2,1.5,e,-1.5,+1,0.5000,43642.847130
19,2,2,1.5,e,-0.5,+1,0.5000,43642.893972
20,2,2,1.5,e,+0.5,+1,0.5000,43642.940790
21,2,2,1.5,e,+1.5,+1,0.5000,43642.987586
28,2,2,1.5,f,-1.5,-1,0.5000,43658.720232
29,2,2,1.5,f,-0.5,-1,0.5000,43658.765001
30,2,2,1.5,f,+0.5,-1,0.5000,43658.809748
31,2,2,1.5,f,+1.5,-1,0.5000,43658.854473
12,2,2,2.5,e,-2.5,+1,0.5000,43634.519607
13,2,2,2.5,e,-1.5,+1,0.5000,43634.546779
14,2,2,2.5,e,-0.5,+1,0.5000,43634.573974
15,2,2,2.5,e,+0.5,+1,0.5000,43634.601192
16,2,2,2.5,e,+1.5,+1,0.5000,43634.628433
17,2,2,2.5,e,+2.5,+1,0.5000,43634.655697
22,2,2,2.5,f,-2.5,-1,0.5000,43650.393058
23,2,2,2.5,f,-1.5,-1,0.5000,43650.418851
24,2,2,2.5,f,-0.5,-1,0.5000,43650.444667
25,2,2,2.5,f,+0.5,-1,0.5000,43650.470504
26,2,2,2.5,f,+1.5,-1,0.5000,43650.496363
27,2,2,2.5,f,+2.5,-1,0.5000,43650.522243
40,3,3,2.5,e,-2.5,-1,0.5000,87278.806343
41,3,3,2.5,e,-1.5,-1,0.5000,87278.832187
42,3,3,2.5,e,-0.5,-1,0.5000,87278.858022
43,3,3,2.5,e,+0.5,-1,0.5000,87278.883850
44,3,3,2.5,e,+1.5,-1,0.5000,87278.909670
45,3,3,2.5,e,+2.5,-1,0.5000,87278.935483
54,3,3,2.5,f,-2.5,+1,0.5000,87310.551271
55,3,3,2.5,f,-1.5,+1,0.5000,87310.575140
56,3,3,2.5,f,-0.5,+1,0.5000,87310.599002
57,3,3,2.5,f,+0.5,+1,0.5000,87310.622857
58,3,3,2.5,f,+1.5,+1,0.5000,87310.646705
59,3,3,2.5,f,+2.5,+1,0.5000,87310.670546
32,3,3,3.5,e,-3.5,-1,0.5000,87273.017409
33,3,3,3.5,e,-2.5,-1,0.5000,87273.033757
34,3,3,3.5,e,-1.5,-1,0.5000,87273.050112
35,3,3,3.5,e,-0.5,-1,0.5000,87273.066475
36,3,3,3.5,e,+0.5,-1,0.5000,87273.082845
37,3,3,3.5,e,+1.5,-1,0.5000,87273.099223
38,3,3,3.5,e,+2.5,-1,0.5000,87273.115609
39,3,3,3.5,e,+3.5,-1,0.5000,87273.132003
46,3,3,3.5,f,-3.5,+1,0.5000,87304.762586
47,3,3,3.5,f,-2.5,+1,0.5000,87304.777456
48,3,3,3.5,f,-1.5,+1,0.5000,87304.792333
49,3,3,3.5,f,-0.5,+1,0.5000,87304.807217
50,3,3,3.5,f,+0.5,+1,0.5000,87304.822108
51,3,3,3.5,f,+1.5,+1,0.5000,87304.837005
52,3,3,3.5,f,+2.5,+1,0.5000,87304.851910
53,3,3,3.5,f,+3.5,+1,0.5000,87304.866822
70,4,4,3.5,e,-3.5,+1,0.5000,145461.043386
71,4,4,3.5,e,-2.5,+1,0.5000,145461.061100
72,4,4,3.5,e,-1.5,+1,0.5000,145461.078810
73,4,4,3.5,e,-0.5,+1,0.5000,145461.096517
74,4,4,3.5,e,+0.5,+1,0.5000,145461.114219
75,4,4,3.5,e,+1.5,+1,0.5000,145461.131918
76,4,4,3.5,e,+2.5,+1,0.5000,145461.149612
77,4,4,3.5,e,+3.5,+1,0.5000,145461.167303
88,4,4,3.5,f,-3.5,-1,0.5000,145513.950095
89,4,4,3.5,f,-2.5,-1,0.5000,145513.965890
90,4,4,3.5,f,-1.5,-1,0.5000,145513.981681
91,4,4,3.5,f,-0.5,-1,0.5000,145513.997469
92,4,4,3.5,f,+0.5,-1,0.5000,145514.013253
93,4,4,3.5,f,+1.5,-1,0.5000,145514.029034
94,4,4,3.5,f,+2.5,-1,0.5000,145514.044811
95,4,4,3.5,f,+3.5,-1,0.5000,145514.060585
60,4,4,4.5,e,-4.5,+1,0.5000,145456.616949
61,4,4,4.5,e,-3.5,+1,0.5000,145456.628693
62,4,4,4.5,e,-2.5,+1,0.5000,145456.640441
63,4,4,4.5,e,-1.5,+1,0.5000,145456.652193
64,4,4,4.5,e,-0.5,+1,0.5000,145456.663948
65,4,4,4.5,e,+0.5,+1,0.5000,145456.675708
66,4,4,4.5,e,+1.5,+1,0.5000,145456.687472
67,4,4,4.5,e,+2.5,+1,0.5000,145456.699240
68,4,4,4.5,e,+3.5,+1,0.5000,145456.711012
69,4,4,4.5,e,+4.5,+1,0.5000,145456.722788
78,4,4,4.5,f,-4.5,-1,0.5000,145509.523852
79,4,4,4.5,f,-3.5,-1,0.5000,145509.534063
80,4,4,4.5,f,-2.5,-1,0.5000,145509.544278
81,4,4,4.5,f,-1.5,-1,0.5000,145509.554496
82,4,4,4.5,f,-0.5,-1,0.5000,145509.564718
83,4,4,4.5,f,+0.5,-1,0.5000,145509.574944
84,4,4,4.5,f,+1.5,-1,0.5000,145509.585173
85,4,4,4.5,f,+2.5,-1,0.5000,145509.595405
86,4,4,4.5,f,+3.5,-1,0.5000,145509.605641
87,4,4,4.5,f,+4.5,-1,0.5000,145509.615880
108,5,5,4.5,e,-4.5,-1,0.5000,218188.682447
109,5,5,4.5,e,-3.5,-1,0.5000,218188.696146
110,5,5,4.5,e,-2.5,-1,0.5000,218188.709843
111,5,5,4.5,e,-1.5,-1,0.5000,218188.723537
112,5,5,4.5,e,-0.5,-1,0.5000,218188.737228
113,5,5,4.5,e,+0.5,-1,0.5000,218188.750917
114,5,5,4.5,e,+1.5,-1,0.5000,218188.764603
115,5,5,4.5,e,+2.5,-1,0.5000,218188.778287
116,5,5,4.5,e,+3.5,-1,0.5000,218188.791969
117,5,5,4.5,e,+4.5,-1,0.5000,218188.805647
130,5,5,4.5,f,-4.5,+1,0.5000,218268.040917
131,5,5,4.5,f,-3.5,+1,0.5000,218268.052732
132,5,5,4.5,f,-2.5,+1,0.5000,218268.064544
133,5,5,4.5,f,-1.5,+1,0.5000,218268.076354
134,5,5,4.5,f,-0.5,+1,0.5000,218268.088162
135,5,5,4.5,f,+0.5,+1,0.5000,218268.099968
136,5,5,4.5,f,+1.5,+1,0.5000,218268.111771
137,5,5,4.5,f,+2.5,+1,0.5000,218268.123572
138,5,5,4.5,f,+3.5,+1,0.5000,218268.135371
139,5,5,4.5,f,+4.5,+1,0.5000,218268.147168
96,5,5,5.5,e,-5.5,-1,0.5000,218185.114849
97,5,5,5.5,e,-4.5,-1,0.5000,218185.124241
98,5,5,5.5,e,-3.5,-1,0.5000,218185.133635
99,5,5,5.5,e,-2.5,-1,0.5000,218185.143033
100,5,5,5.5,e,-1.5,-1,0.5000,218185.152433
