eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,106,20,-174633.506384,1.937989e-09,5,5,4.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,107,21,-174633.506379,1.076659e-09,5,5,4.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,108,22,-174633.506374,5.383288e-10,5,5,4.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,109,23,-174633.506369,2.307120e-10,5,5,4.5,f,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,110,24,-174633.506364,7.690390e-11,5,5,4.5,f,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,111,25,-174633.506359,1.538076e-11,5,5,4.5,f,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,96,26,-174538.286385,1.937987e-09,5,5,4.5,e,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,97,27,-174538.286381,1.076658e-09,5,5,4.5,e,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,98,28,-174538.286377,5.383283e-10,5,5,4.5,e,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,99,29,-174538.286373,2.307118e-10,5,5,4.5,e,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,100,30,-174538.286369,7.690383e-11,5,5,4.5,e,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,101,31,-174538.286365,1.538074e-11,5,5,4.5,e,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,4,-130973.018529,4.788115e-09,4,4,3.5,f,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,69,5,-130973.018513,2.052044e-09,4,4,3.5,f,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,70,6,-130973.018497,6.840126e-10,4,4,3.5,f,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,71,7,-130973.018481,1.368021e-10,4,4,3.5,f,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,106,53,-130963.279323,5.667057e-03,5,5,4.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,107,54,-130963.279322,7.556070e-03,5,5,4.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,108,55,-130963.279321,7.083811e-03,5,5,4.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,109,56,-130963.279320,5.397185e-03,5,5,4.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,110,57,-130963.279318,3.373238e-03,5,5,4.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,111,58,-130963.279317,1.619153e-03,5,5,4.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,112,59,-130963.279316,4.722526e-04,5,5,4.5,f,+1.5,+1,3,3,3.5,f,+3.5,+1
sigma+,sigma-,128,52,-130959.701873,2.727194e-01,5,5,5.5,f,-5.5,+1,3,3,3.5,f,-3.5,+1
sigma+,sigma-,129,53,-130959.701871,1.735488e-01,5,5,5.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,130,54,-130959.701868,1.041293e-01,5,5,5.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,131,55,-130959.701866,5.784961e-02,5,5,5.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,132,56,-130959.701864,2.892481e-02,5,5,5.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,133,57,-130959.701861,1.239635e-02,5,5,5.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,134,58,-130959.701859,4.132118e-03,5,5,5.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,135,59,-130959.701857,8.264237e-04,5,5,5.5,f,+1.5,+1,3,3,3.5,f,+3.5,+1
sigma+,sigma-,106,38,-130957.483146,2.571523e-01,5,5,4.5,f,-4.5,+1,3,3,2.5,f,-2.5,+1
sigma+,sigma-,107,39,-130957.483142,1.428623e-01,5,5,4.5,f,-3.5,+1,3,3,2.5,f,-1.5,+1
sigma+,sigma-,108,40,-130957.483138,7.143116e-02,5,5,4.5,f,-2.5,+1,3,3,2.5,f,-0.5,+1
sigma+,sigma-,109,41,-130957.483134,3.061335e-02,5,5,4.5,f,-1.5,+1,3,3,2.5,f,+0.5,+1
sigma+,sigma-,110,42,-130957.483130,1.020445e-02,5,5,4.5,f,-0.5,+1,3,3,2.5,f,+1.5,+1
sigma+,sigma-,111,43,-130957.483126,2.040889e-03,5,5,4.5,f,+0.5,+1,3,3,2.5,f,+2.5,+1
sigma+,sigma-,96,45,-130915.669321,5.667046e-03,5,5,4.5,e,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,97,46,-130915.669320,7.556055e-03,5,5,4.5,e,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,98,47,-130915.669319,7.083796e-03,5,5,4.5,e,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,99,48,-130915.669318,5.397173e-03,5,5,4.5,e,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,100,49,-130915.669317,3.373231e-03,5,5,4.5,e,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,101,50,-130915.669317,1.619149e-03,5,5,4.5,e,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,102,51,-130915.669316,4.722515e-04,5,5,4.5,e,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,60,8,-130914.828530,4.788109e-09,4,4,3.5,e,-3.5,+1,1,1,1.5,f,-1.5,+1
sigma+,sigma-,61,9,-130914.828515,2.052041e-09,4,4,3.5,e,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,62,10,-130914.828500,6.840118e-10,4,4,3.5,e,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,63,11,-130914.828486,1.368020e-10,4,4,3.5,e,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,116,44,-130912.091872,2.727194e-01,5,5,5.5,e,-5.5,-1,3,3,3.5,e,-3.5,-1
sigma+,sigma-,117,45,-130912.091870,1.735488e-01,5,5,5.5,e,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,118,46,-130912.091867,1.041293e-01,5,5,5.5,e,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,119,47,-130912.091865,5.784962e-02,5,5,5.5,e,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,120,48,-130912.091863,2.892481e-02,5,5,5.5,e,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,121,49,-130912.091860,1.239635e-02,5,5,5.5,e,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,122,50,-130912.091858,4.132118e-03,5,5,5.5,e,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,123,51,-130912.091856,8.264238e-04,5,5,5.5,e,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,96,32,-130909.873145,2.571523e-01,5,5,4.5,e,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,97,33,-130909.873141,1.428624e-01,5,5,4.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,98,34,-130909.873137,7.143116e-02,5,5,4.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,99,35,-130909.873133,3.061335e-02,5,5,4.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,100,36,-130909.873129,1.020445e-02,5,5,4.5,e,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,101,37,-130909.873125,2.040889e-03,5,5,4.5,e,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,68,27,-101863.547670,1.058195e-02,4,4,3.5,f,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,69,28,-101863.547667,1.209364e-02,4,4,3.5,f,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,70,29,-101863.547663,9.070217e-03,4,4,3.5,f,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,71,30,-101863.547660,4.837444e-03,4,4,3.5,f,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,72,31,-101863.547657,1.511699e-03,4,4,3.5,f,+0.5,-1,2,2,2.5,f,+2.5,-1
