eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,106,20,-174633.531276,1.949251e-09,5,5,4.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,107,21,-174633.505743,1.075380e-09,5,5,4.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,108,22,-174633.480137,5.339611e-10,5,5,4.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,109,23,-174633.454462,2.272591e-10,5,5,4.5,f,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,110,24,-174633.428716,7.523141e-11,5,5,4.5,f,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,111,25,-174633.402901,1.494303e-11,5,5,4.5,f,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,96,26,-174538.291407,1.949255e-09,5,5,4.5,e,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,97,27,-174538.271309,1.075390e-09,5,5,4.5,e,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,98,28,-174538.251143,5.339681e-10,5,5,4.5,e,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,99,29,-174538.230910,2.272623e-10,5,5,4.5,e,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,100,30,-174538.210610,7.523233e-11,5,5,4.5,e,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,101,31,-174538.190244,1.494314e-11,5,5,4.5,e,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,4,-130973.084346,4.822085e-09,4,4,3.5,f,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,69,5,-130973.005961,2.037361e-09,4,4,3.5,f,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,70,6,-130972.927039,6.695770e-10,4,4,3.5,f,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,71,7,-130972.847593,1.320463e-10,4,4,3.5,f,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,106,53,-130963.252920,5.724836e-03,5,5,4.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,107,54,-130963.247841,7.603322e-03,5,5,4.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,108,55,-130963.242736,7.100454e-03,5,5,4.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,109,56,-130963.237606,5.388998e-03,5,5,4.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,110,57,-130963.232451,3.355203e-03,5,5,4.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,111,58,-130963.227270,1.604355e-03,5,5,4.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
