index,J,F1,F,ef,mF,parity,purity,E_MHz
8,1,1,0.5,e,-0.5,-1,0.5000,14555.919693
9,1,1,0.5,e,+0.5,-1,0.5000,14556.150172
10,1,1,0.5,f,-0.5,+1,0.5000,14561.211595
11,1,1,0.5,f,+0.5,+1,0.5000,14561.438238
0,1,1,1.5,e,-1.5,-1,0.5000,14540.828944
1,1,1,1.5,e,-0.5,-1,0.5000,14540.933665
2,1,1,1.5,e,+0.5,-1,0.5000,14541.038913
3,1,1,1.5,e,+1.5,-1,0.5000,14541.144676
4,1,1,1.5,f,-1.5,+1,0.5000,14546.121819
5,1,1,1.5,f,-0.5,+1,0.5000,14546.224638
6,1,1,1.5,f,+0.5,+1,0.5000,14546.327968
7,1,1,1.5,f,+1.5,+1,0.5000,14546.431798
18,2,2,1.5,e,-1.5,+1,0.5000,43642.800394
19,2,2,1.5,e,-0.5,+1,0.5000,43642.878489
20,2,2,1.5,e,+0.5,+1,0.5000,43642.956519
21,2,2,1.5,e,+1.5,+1,0.5000,43643.034486
28,2,2,1.5,f,-1.5,-1,0.5000,43658.675561
29,2,2,1.5,f,-0.5,-1,0.5000,43658.750200
30,2,2,1.5,f,+0.5,-1,0.5000,43658.824778
31,2,2,1.5,f,+1.5,-1,0.5000,43658.899296
12,2,2,2.5,e,-2.5,+1,0.5000,43634.474244
13,2,2,2.5,e,-1.5,+1,0.5000,43634.519478
14,2,2,2.5,e,-0.5,+1,0.5000,43634.564778
15,2,2,2.5,e,+0.5,+1,0.5000,43634.610142
16,2,2,2.5,e,+1.5,+1,0.5000,43634.655570
17,2,2,2.5,e,+2.5,+1,0.5000,43634.701060
22,2,2,2.5,f,-2.5,-1,0.5000,43650.349996
23,2,2,2.5,f,-1.5,-1,0.5000,43650.392937
24,2,2,2.5,f,-0.5,-1,0.5000,43650.435940
25,2,2,2.5,f,+0.5,-1,0.5000,43650.479002
26,2,2,2.5,f,+1.5,-1,0.5000,43650.522124
27,2,2,2.5,f,+2.5,-1,0.5000,43650.565304
40,3,3,2.5,e,-2.5,-1,0.5000,87278.763338
41,3,3,2.5,e,-1.5,-1,0.5000,87278.806428
42,3,3,2.5,e,-0.5,-1,0.5000,87278.849496
43,3,3,2.5,e,+0.5,-1,0.5000,87278.892542
44,3,3,2.5,e,+1.5,-1,0.5000,87278.935567
45,3,3,2.5,e,+2.5,-1,0.5000,87278.978570
54,3,3,2.5,f,-2.5,+1,0.5000,87310.511549
55,3,3,2.5,f,-1.5,+1,0.5000,87310.551347
56,3,3,2.5,f,-0.5,+1,0.5000,87310.591124
57,3,3,2.5,f,+0.5,+1,0.5000,87310.630883
58,3,3,2.5,f,+1.5,+1,0.5000,87310.670621
59,3,3,2.5,f,+2.5,+1,0.5000,87310.710341
32,3,3,3.5,e,-3.5,-1,0.5000,87272.979211
33,3,3,3.5,e,-2.5,-1,0.5000,87273.006431
34,3,3,3.5,e,-1.5,-1,0.5000,87273.033672
35,3,3,3.5,e,-0.5,-1,0.5000,87273.060935
36,3,3,3.5,e,+0.5,-1,0.5000,87273.088220
37,3,3,3.5,e,+1.5,-1,0.5000,87273.115526
38,3,3,3.5,e,+2.5,-1,0.5000,87273.142853
39,3,3,3.5,e,+3.5,-1,0.5000,87273.170201
46,3,3,3.5,f,-3.5,+1,0.5000,87304.727840
47,3,3,3.5,f,-2.5,+1,0.5000,87304.752600
48,3,3,3.5,f,-1.5,+1,0.5000,87304.777380
49,3,3,3.5,f,-0.5,+1,0.5000,87304.802179
50,3,3,3.5,f,+0.5,+1,0.5000,87304.826997
51,3,3,3.5,f,+1.5,+1,0.5000,87304.851835
52,3,3,3.5,f,+2.5,+1,0.5000,87304.876691
53,3,3,3.5,f,+3.5,+1,0.5000,87304.901567
70,4,4,3.5,e,-3.5,+1,0.5000,145461.002108
71,4,4,3.5,e,-2.5,+1,0.5000,145461.031646
72,4,4,3.5,e,-1.5,+1,0.5000,145461.061172
73,4,4,3.5,e,-0.5,+1,0.5000,145461.090687
74,4,4,3.5,e,+0.5,+1,0.5000,145461.120191
75,4,4,3.5,e,+1.5,+1,0.5000,145461.149684
76,4,4,3.5,e,+2.5,+1,0.5000,145461.179166
77,4,4,3.5,e,+3.5,+1,0.5000,145461.208636
88,4,4,3.5,f,-3.5,-1,0.5000,145513.913290
89,4,4,3.5,f,-2.5,-1,0.5000,145513.939626
90,4,4,3.5,f,-1.5,-1,0.5000,145513.965953
91,4,4,3.5,f,-0.5,-1,0.5000,145513.992269
92,4,4,3.5,f,+0.5,-1,0.5000,145514.018576
93,4,4,3.5,f,+1.5,-1,0.5000,145514.044874
94,4,4,3.5,f,+2.5,-1,0.5000,145514.071161
95,4,4,3.5,f,+3.5,-1,0.5000,145514.097439
60,4,4,4.5,e,-4.5,+1,0.5000,145456.581669
