E_Vcm,g_upper,g_lower,dg,E_upper_MHz,E_lower_MHz
0,-0.01476486511,-0.01503891264,0.0002740475289,14546.27681,14540.98681
0.25,-0.01476529298,-0.01503848478,0.0002731918032,14546.2853,14540.97832
0.5,-0.01476655213,-0.01503722562,0.0002706734877,14546.31061,14540.953
0.75,-0.01476857303,-0.01503520471,0.0002666316868,14546.35226,14540.91134
1,-0.01477125113,-0.0150325266,0.0002612754636,14546.40954,14540.85405
1.25,-0.01477446074,-0.01502931697,0.0002548562375,14546.48148,14540.78209
1.5,-0.01477806915,-0.01502570853,0.0002476393803,14546.56701,14540.69654
1.75,-0.0147819487,-0.01502182897,0.0002398802698,14546.66499,14540.59853
2,-0.01478598502,-0.01501779261,0.0002318075918,14546.77425,14540.48925
2.25,-0.01479008167,-0.01501369593,0.0002236142527,14546.89366,14540.36981
2.5,-0.01479416146,-0.01500961611,0.0002154546504,14547.02213,14540.2413
2.75,-0.01479816557,-0.01500561195,0.000207446383,14547.15869,14540.1047
3,-0.01480205148,-0.015001726,0.0001996745192,14547.30243,14539.96092
3.25,-0.01480579024,-0.01499798719,0.0001921969549,14547.45254,14539.81077
3.5,-0.01480936376,-0.01499441362,0.000185049864,14547.60829,14539.65496
3.75,-0.01481276232,-0.014991015,0.0001782526815,14547.76906,14539.49414
4,-0.01481598245,-0.01498779481,0.000171812361,14547.93427,14539.32887
4.25,-0.01481902518,-0.01498475202,0.0001657268463,14548.10344,14539.15965
4.5,-0.01482189466,-0.01498188247,0.0001599878066,14548.27613,14538.98689
4.75,-0.01482459716,-0.0149791799,0.0001545827329,14548.45196,14538.81099
5,-0.01482714024,-0.01497663675,0.0001494965077,14548.6306,14538.63228
5.25,-0.01482953217,-0.01497424473,0.0001447125573,14548.81177,14538.45104
5.5,-0.01483178157,-0.01497199525,0.0001402136782,14548.99519,14538.26753
5.75,-0.01483389706,-0.01496987968,0.0001359826176,14549.18066,14538.08198
6,-0.01483588709,-0.01496788956,0.0001320024699,14549.36797,14537.89458
6.25,-0.01483775981,-0.01496601674,0.0001282569362,14549.55695,14537.70551
6.5,-0.01483952298,-0.01496425347,0.0001247304858,14549.74744,14537.51493
6.75,-0.01484118395,-0.0149625924,0.0001214084467,14549.9393,14537.32296
7,-0.0148427496,-0.01496102664,0.0001182770461,14550.13242,14537.12974
7.25,-0.01484422636,-0.01495954977,0.000115323416,14550.32668,14536.93538
7.5,-0.01484562022,-0.0149581558,0.0001125355758,14550.52199,14536.73996
7.75,-0.01484693675,-0.01495683915,0.0001099023995,14550.71826,14536.54357
8,-0.0148481811,-0.01495559468,0.0001074135736,14550.91542,14536.3463
8.25,-0.01484935805,-0.0149544176,0.0001050595496,14551.11338,14536.14822
8.5,-0.01485047201,-0.01495330351,0.0001028314949,14551.3121,14535.94938
8.75,-0.01485152707,-0.01495224832,0.0001007212421,14551.51151,14535.74984
9,-0.01485252701,-0.01495124825,9.872124081e-05,14551.71156,14535.54966
9.25,-0.0148534753,-0.01495029981,9.682451022e-05,14551.91221,14535.34888
9.5,-0.01485437519,-0.01494939978,9.502459482e-05,14552.1134,14535.14754
9.75,-0.01485522965,-0.01494854517,9.331552247e-05,14552.31512,14534.94568
10,-0.01485604145,-0.01494773322,9.169176549e-05,14552.51731,14534.74334
10.5,-0.01485754713,-0.01494622722,8.868009503e-05,14552.923,14534.33735
12.09243697,-0.01486146794,-0.0149423053,8.08373589e-05,14554.22463,14533.03465
13.68487395,-0.01486437279,-0.01493939917,7.502637812e-05,14555.53708,14531.72098
15.27731092,-0.01486654827,-0.01493722227,7.067399325e-05,14556.85711,14530.39958
16.8697479,-0.01486818462,-0.01493558434,6.739971886e-05,14558.18264,14529.07253
18.46218487,-0.01486941226,-0.01493435495,6.494269209e-05,14559.51227,14527.74124
20.05462185,-0.01487032325,-0.01493344207,6.31188219e-05,14560.84503,14526.40665
21.64705882,-0.01487098421,-0.01493277905,6.179483808e-05,14562.18024,14525.06948
23.2394958,-0.01487144449,-0.01493231656,6.087206967e-05,14563.51738,14523.73022
24.83193277,-0.01487174134,-0.01493201734,6.027600074e-05,14564.85607,14522.38926
26.42436975,-0.0148719034,-0.01493185276,5.994936155e-05,14566.19602,14521.04688
28.01680672,-0.01487195302,-0.01493180046,5.984744542e-05,14567.53702,14519.70332
29.6092437,-0.01487190789,-0.01493184275,5.993486315e-05,14568.87887,14518.35874
31.20168067,-0.0148717822,-0.01493196545,6.018324865e-05,14570.22144,14517.0133
32.79411765,-0.01487158744,-0.01493215705,6.056960721e-05,14571.56462,14515.66709
34.38655462,-0.01487133304,-0.01493240815,6.107510701e-05,14572.90831,14514.32023
35.9789916,-0.01487102677,-0.01493271095,6.168418146e-05,14574.25244,14512.97278
37.57142857,-0.01487067512,-0.01493305897,6.238385342e-05,14575.59693,14511.62482
39.16386555,-0.01487028355,-0.01493344677,6.316321996e-05,14576.94174,14510.27638
40.75630252,-0.01486985666,-0.01493386972,6.401305513e-05,14578.28682,14508.92753
42.3487395,-0.01486939839,-0.01493432389,6.492550032e-05,14579.63213,14507.57829
43.94117647,-0.01486891211,-0.01493480593,6.589382069e-05,14580.97763,14506.22871
45.53361345,-0.01486840071,-0.01493531292,6.691221167e-05,14582.32331,14504.87881
47.12605042,-0.01486786671,-0.01493584235,6.797564405e-05,14583.66913,14503.52861
48.71848739,-0.0148673123,-0.01493639204,6.907973899e-05,14585.01508,14502.17814
50.31092437,-0.0148667394,-0.01493696006,7.022066637e-05,14586.36113,14500.82741
51.90336134,-0.01486614968,-0.01493754474,7.139506159e-05,14587.70726,14499.47644
53.49579832,-0.01486554464,-0.0149381446,7.259995708e-05,14589.05348,14498.12525
55.08823529,-0.01486492558,-0.01493875831,7.383272549e-05,14590.39975,14496.77385
56.68067227,-0.01486429368,-0.01493938471,7.509103237e-05,14591.74607,14495.42225
58.27310924,-0.01486364996,-0.01494002276,7.63727965e-05,14593.09243,14494.07046
59.86554622,-0.01486299537,-0.01494067153,7.767615655e-05,14594.43882,14492.71849
61.45798319,-0.01486233074,-0.01494133018,7.899944278e-05,14595.78523,14491.36635
63.05042017,-0.01486165682,-0.01494199797,8.034115305e-05,14597.13165,14490.01404
64.64285714,-0.01486097428,-0.01494267422,8.169993237e-05,14598.47809,14488.66158
